date,return,sentiment_mean,n_tweets,sentiment_lag1
2020-07-08,9.82522674666253e-05,0.24287543,10,-0.03560941
2020-07-09,-0.007862344241633457,-0.01498778,9,0.24287543
2020-07-10,-0.002377575957236644,0.17315297,8,-0.01498778
2020-07-13,0.005659881267038536,0.4037299,8,0.17315297
2020-07-14,0.019845856660585914,0.27006388,12,0.4037299
2020-07-15,0.012973456677882744,-0.17745866,15,0.27006388
2020-07-16,-0.0016249459771864316,-0.035374448,8,-0.17745866
2020-07-17,0.013689550827843622,-0.016181653,10,-0.035374448
2020-07-20,-0.00018872486077525785,-0.011608202,8,-0.016181653
2020-07-21,-0.0006611710123759496,0.27013415,7,-0.011608202
2020-07-22,0.00897883738976879,-0.035485484,10,0.27013415
2020-07-23,-0.004496482475009667,0.17360142,16,-0.035485484
2020-07-24,-0.011009554020051993,0.08192977,8,0.17360142
2020-07-27,0.007516704445410305,0.029603252,10,0.08192977
2020-07-28,-0.0011332109220066888,0.05048853,14,0.029603252
2020-07-29,0.010494465594088398,0.019684808,12,0.05048853
2020-07-30,-0.006923650385304847,0.2130587,11,0.019684808
2020-07-31,-0.005747200551226017,0.42780375,1,0.2130587
2020-08-03,0.010328964595132772,0.043669816,6,0.42780375
2020-08-04,-0.004408130517262854,0.13340382,14,0.043669816
2020-08-05,0.004615754443707987,-0.14201708,8,0.13340382
2020-08-06,-0.005344993213157734,0.22792691,13,-0.14201708
2020-08-07,0.0032057721730684996,0.2854903,12,0.22792691
2020-08-10,-0.0033834085596027297,0.04939841,4,0.2854903
2020-08-11,-0.00631786807485446,-0.14257377,9,0.04939841
2020-08-12,0.016796642466339495,-0.016593533,7,-0.14257377
2020-08-13,-0.0013067777472913766,0.017157122,8,-0.016593533
2020-08-14,-0.0019622275841352232,-0.12492345,8,0.017157122
2020-08-17,0.005898567170147251,-0.18818623,11,-0.12492345
2020-08-18,-0.00027914512558169235,0.11178353,6,-0.18818623
2020-08-19,-0.0032587610775862696,0.29938495,4,0.11178353
2020-08-20,-0.0031762691437866586,-0.09790506,6,0.29938495
2020-08-21,0.0010309045933210026,0.11438393,7,-0.09790506
2020-08-24,-0.004587114996123631,0.5219014,6,0.11438393
2020-08-25,0.006771441950297552,0.37864876,12,0.5219014
2020-08-26,-0.0012144649658784035,0.33885404,8,0.37864876
2020-08-27,0.0078562929482211,0.13593525,11,0.33885404
2020-08-28,0.002227168920420075,0.07126428,5,0.13593525
2020-09-01,-0.008960017728315894,0.028668346,6,0.07126428
2020-09-02,0.020039234916044313,0.22225262,6,0.028668346
2020-09-03,-0.027229604459424905,0.12821683,13,0.22225262
2020-09-04,-0.007138835804438859,0.25936604,9,0.12821683
2020-09-08,-0.01646184067915535,0.24290618,8,0.25936604
2020-09-09,0.0176994688300105,0.28268427,7,0.24290618
