,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,positive SA value,Negative SA values,Compound,source,tweet
1973,4898091,2020-02-04 07:30:08+00:00, ,1.2246E+18,en,22,0,7,9,,,,SocialFlow,"Boris Johnson said that if it proves impossible to reach a deal with the EU, there is always the alternative model of Australia. That remark prompted head scratching in Brussels. Here’s where both sides stand on trade talks: https://t.co/8V4a6B5Ghq"
1972,4898091,2020-02-04 07:45:03+00:00, ,1.2246E+18,en,20,3,5,17,,,,SocialFlow,"The EU’s parting words to the UK after nearly half a century were a perhaps revealing misstatement: ‘Thank you, goodbye, and good riddance.’ https://t.co/RzZwZpIwfq"
1969,4898091,2020-02-04 08:30:07+00:00, ,1.22461E+18,en,5,0,1,3,,,,SocialFlow,Robert Shrimsley: Tensions are slowly building in the government between two only partially aligned visions of Brexit Britain: the cohesion country versus the start-up nation https://t.co/bYmInoPQEa
1966,4898091,2020-02-04 09:20:05+00:00, ,1.22462E+18,en,20,1,3,5,,,,SocialFlow,"Michael Skapinker: With or without an Oxford comma, the 50p Brexit coin’s wording falls flat. The leaders of the Leave campaign could surely have thought of something punchier https://t.co/rsDVObyKNH"
1963,4898091,2020-02-04 10:20:01+00:00, ,1.22464E+18,en,24,6,7,10,,,,SocialFlow,"The EU’s final words to the UK as it departed the union after nearly half a century were 'thank you, goodbye, and good riddance' https://t.co/yEbNLpnBSn"
1962,4898091,2020-02-04 10:40:06+00:00, ,1.22464E+18,en,22,1,0,18,,,,SocialFlow,"Hong Kong reported its first fatality from the coronavirus outbreak, while Beijing has said there have now been 20,438 confirmed cases and 425 deaths from the virus. Follow our live blog for the latest: https://t.co/QTwISVqadG https://t.co/BDvmQ2K8v3"
1960,4898091,2020-02-04 11:20:06+00:00, ,1.22465E+18,en,34,2,4,24,,,,SocialFlow,"The story of the rise and fall of the two doctors underlines the tight control China’s leaders try to maintain over the official narrative, especially when confronting a potentially destabilising crisis such as an epidemic https://t.co/iV8J1g5ztX"
1957,4898091,2020-02-04 12:00:06+00:00, ,1.22466E+18,en,6,1,1,1,,,,SocialFlow,Here are five ways to stay healthy in Frankfurt that are available all year round: https://t.co/5iT8FgzAgS
1955,4898091,2020-02-04 12:40:00+00:00, ,1.22467E+18,en,37,4,0,22,,,,Twitter Media Studio,"Economists are terrified of how slow growth, low inflation and low interest rates could hit the US economy. The FT's US economics editor Brendan Greeley explains why https://t.co/soh2BbJmUf"
1953,4898091,2020-02-04 13:36:53+00:00, ,1.22469E+18,en,0,0,0,16,,,,SocialFlow,"RT @khalafroula: ""The taint of incompetence will be hard to shake off""
@EdwardGluce 's take on the Iowa debacle
 
https://t.co/gvhuiRtP6p v…"
1950,4898091,2020-02-04 14:16:09+00:00, ,1.2247E+18,en,0,0,0,3,,,,SocialFlow,"RT @robertshrimsley: We're doing a live recording of our FT politics podcast on Feb 26. Personally, I think all the men have faces for radi…"
1949,4898091,2020-02-04 14:20:03+00:00, ,1.2247E+18,en,27,2,6,13,,,,SocialFlow,"The auto industry warns that the UK government's new target to ban the sale of petrol, diesel and hybrid cars by 2035 will lead to consumers holding on to polluting cars for longer
https://t.co/ivF9dIkaVP"
1947,4898091,2020-02-04 14:37:23+00:00, ,1.2247E+18,en,0,0,0,11,,,,SocialFlow,"RT @ChassNews: An angry @EdwardGLuce here: ""The Kremlin could not have contrived a better start to the Democratic presidential race if they…"
1943,4898091,2020-02-04 15:15:58+00:00, ,1.22471E+18,en,7,0,1,5,,,,Ads Uploader for Twitter,"How can students, new graduates and those who advise and recruit them find a meaningful way to plan for the decades ahead? https://t.co/xSMsGMZIM6"
1942,4898091,2020-02-04 15:15:58+00:00, ,1.22471E+18,en,3,2,2,0,,,,Ads Uploader for Twitter,"In that context of the climate emergency, the cost of writing off stranded assets could be seen as a small price to pay. But the amounts involved would be breathtaking. https://t.co/gjRe4IN5Ny"
1941,4898091,2020-02-04 15:15:59+00:00, ,1.22471E+18,en,1,0,0,0,,,,Ads Uploader for Twitter,"""Economic exchange can produce welfare gains for both sides, but it can also be used as a strategic weapon."" https://t.co/lRvhNbAptA"
1940,4898091,2020-02-04 15:15:59+00:00, ,1.22471E+18,en,2,1,1,2,,,,Ads Uploader for Twitter,"""One thing tech-enabled taxi services have failed to do — so far at least — is to make a profit. Hopes are pinned on the economics of autonomous cars."" https://t.co/eLDNeRaATQ"
1938,4898091,2020-02-04 15:16:00+00:00, ,1.22471E+18,en,544,27,46,336,,,,Ads Uploader for Twitter,"""Anyone wishing to understand the tensions slowly building in the British government should study the policy arguments of the past few days."" https://t.co/dgHloZEHLX"
1936,4898091,2020-02-04 15:16:01+00:00, ,1.22471E+18,en,3,0,0,2,,,,Ads Uploader for Twitter,"""What gets measured gets managed. The climate impact of business and consumer decisions is not being fully measured and thus not being properly managed."" https://t.co/ScFTsDu5AI"
1934,4898091,2020-02-04 15:16:02+00:00, ,1.22471E+18,en,4,1,0,0,,,,Ads Uploader for Twitter,"How can students, new graduates and those who advise and recruit them find a meaningful way to plan for the decades ahead? https://t.co/oGrqvngHSJ"
1932,4898091,2020-02-04 15:16:03+00:00, ,1.22471E+18,en,28,1,0,7,,,,Ads Uploader for Twitter,"""As the news landscape shifts, my relatives now discuss preventive measures with more urgency than before."" https://t.co/Jm2UImNi8r"
1928,4898091,2020-02-04 15:16:05+00:00, ,1.22471E+18,en,0,0,0,0,,,,Ads Uploader for Twitter,"How can students, new graduates and those who advise and recruit them find a meaningful way to plan for the decades ahead? https://t.co/XHXNMsUgyO"
1922,4898091,2020-02-04 15:16:08+00:00, ,1.22471E+18,en,0,0,0,0,,,,Ads Uploader for Twitter,"How can students, new graduates and those who advise and recruit them find a meaningful way to plan for the decades ahead? https://t.co/U6zgY7p85q"
1921,4898091,2020-02-04 15:16:08+00:00, ,1.22471E+18,en,1,0,0,0,,,,Ads Uploader for Twitter,"From DIY centres to TV broadcasters and blue-chip tech giants to robot makers, companies are being forced to publicly engage with activists at a frequency and intensity Japan has never seen before. https://t.co/2mqDJLmrUA"
1918,4898091,2020-02-04 15:16:10+00:00, ,1.22471E+18,en,42,2,5,12,,,,Ads Uploader for Twitter,"How can students, new graduates and those who advise and recruit them find a meaningful way to plan for the decades ahead? https://t.co/c1hfFhgnD6"
1916,4898091,2020-02-04 15:16:11+00:00, ,1.22471E+18,en,86,1,3,39,,,,Ads Uploader for Twitter,"""What gets measured gets managed. The climate impact of business and consumer decisions is not being fully measured and thus not being properly managed."" https://t.co/JZsKqjcP0d"
1913,4898091,2020-02-04 15:16:12+00:00, ,1.22471E+18,en,3,0,1,1,,,,Ads Uploader for Twitter,"""What gets measured gets managed. The climate impact of business and consumer decisions is not being fully measured and thus not being properly managed."" https://t.co/RqKKVMT8qv"
1911,4898091,2020-02-04 15:16:13+00:00, ,1.22471E+18,en,1,0,0,0,,,,Ads Uploader for Twitter,"""After the UK Labour party’s humiliating general election defeat, “moderate” Democratic presidential candidates in the US urged the Democrats to learn the lessons of Brexit and Donald Trump: don’t veer too far-left and make radical promises."" https://t.co/knABxBcOKC"
1912,4898091,2020-02-04 15:16:13+00:00, ,1.22471E+18,en,0,0,0,0,,,,Ads Uploader for Twitter,"""One thing tech-enabled taxi services have failed to do — so far at least — is to make a profit. Hopes are pinned on the economics of autonomous cars."" https://t.co/0S2V5LzglX"
1908,4898091,2020-02-04 15:16:15+00:00, ,1.22471E+18,en,0,0,0,0,,,,Ads Uploader for Twitter,"""After the UK Labour party’s humiliating general election defeat, “moderate” Democratic presidential candidates in the US urged the Democrats to learn the lessons of Brexit and Donald Trump: don’t veer too far-left and make radical promises."" https://t.co/cXYvzXtQDz"
1904,4898091,2020-02-04 15:16:17+00:00, ,1.22471E+18,en,14,0,2,0,,,,Ads Uploader for Twitter,"""The Kremlin could not have contrived a better start to the Democratic presidential race if they had tried. Nor could Donald Trump. "" https://t.co/B31cBEiKCM"
1903,4898091,2020-02-04 15:16:17+00:00, ,1.22471E+18,en,1,0,0,0,,,,Ads Uploader for Twitter,"""One thing tech-enabled taxi services have failed to do — so far at least — is to make a profit. Hopes are pinned on the economics of autonomous cars."" https://t.co/gOx1SPPhuQ"
1896,4898091,2020-02-04 15:16:20+00:00, ,1.22471E+18,en,9,0,3,2,,,,Ads Uploader for Twitter,"""After the UK Labour party’s humiliating general election defeat, “moderate” Democratic presidential candidates in the US urged the Democrats to learn the lessons of Brexit and Donald Trump: don’t veer too far-left and make radical promises."" https://t.co/TfqhyRcHXC"
1895,4898091,2020-02-04 15:16:21+00:00, ,1.22471E+18,en,13,0,6,3,,,,Ads Uploader for Twitter,"""The Kremlin could not have contrived a better start to the Democratic presidential race if they had tried. Nor could Donald Trump. "" https://t.co/av0hFpRhL4"
1894,4898091,2020-02-04 15:20:04+00:00, ,1.22471E+18,en,30,2,2,11,,,,SocialFlow,"Donald Trump will place his economic record at the heart of his re-election campaign despite the slump in manufacturing that unfolded last year under his watch
https://t.co/QDUAwuASUr"
1893,4898091,2020-02-04 15:40:05+00:00, ,1.22472E+18,en,20,3,0,7,,,,SocialFlow,"When it comes to dealing with shareholders, has Google’s parent, Alphabet, turned over a new leaf?
https://t.co/WdJH5fHTFq"
1892,4898091,2020-02-04 16:00:23+00:00, ,1.22472E+18,en,89,7,8,44,,,,SocialFlow,"Tesla is now the world’s second-largest automaker by market value 
https://t.co/n5EO2XmSSD"
1890,4898091,2020-02-04 16:20:10+00:00, ,1.22473E+18,en,19,1,1,10,,,,SocialFlow,"Shadow is closely linked to Acronym, a non-profit group that uses voter data to power sophisticated digital advertising and generate Democrat-friendly ‘news’ stories via social media
https://t.co/VUNQsfpUhw"
1889,4898091,2020-02-04 16:40:03+00:00, ,1.22473E+18,en,85,21,9,71,,,,SocialFlow,"Hyundai said it had to shut down all its car factories in South Korea after running out of components from China
https://t.co/Ogb7FblRNF"
1887,4898091,2020-02-04 17:20:09+00:00, ,1.22474E+18,en,9,1,2,1,,,,SocialFlow,"Thinking of booking your next escape? Here's @HTSI's best new travel destinations, from the wild Sahara to loft-living in Hong Kong https://t.co/kWVIGsokth"
1883,4898091,2020-02-04 18:46:49+00:00, ,1.22477E+18,en,0,0,0,14,,,,SocialFlow,"RT @TonyTassell: The EU’s final words to the UK as it departed the union after nearly half a century were “thank you, goodbye, and good rid…"
1882,4898091,2020-02-04 20:30:08+00:00, ,1.22479E+18,en,9,4,0,7,,,,SocialFlow,"Just published: front page of the Financial Times international edition, Wednesday February 5 https://t.co/boyNIg8Uey https://t.co/QfTwy1ngK0"
1879,4898091,2020-02-05 00:03:52+00:00, ,1.22485E+18,en,22,2,1,14,,,,SocialFlow,"Good morning, Hong Kong. While you were sleeping, this was our most read story: https://t.co/hUXL6o7OoD"
1874,4898091,2020-02-05 05:40:09+00:00, ,1.22493E+18,en,17,0,0,11,,,,SocialFlow,"FT Exclusive: Michael Ronen, a top US executive at SoftBank’s $100bn Vision Fund, is leaving after expressing concerns about ‘issues’ at the technology conglomerate that has suffered a string of recent setbacks https://t.co/2sPNbD67io https://t.co/IjRRFPKJAS"
1872,4898091,2020-02-05 06:20:08+00:00, ,1.22494E+18,en,13,1,1,10,,,,SocialFlow,"As Chinese equities suffered their biggest sell-off in more than four years on Monday, speculation grew that China’s ‘national team’ of state-backed buyers would cushion the blow. But this time, they largely kept the powder dry. https://t.co/qRT6H1X2Gj"
1869,4898091,2020-02-05 07:15:05+00:00, ,1.22495E+18,en,293,60,52,293,,,,SocialFlow,"Boris Johnson’s allies have a nickname for Sajid Javid: ‘Chino’, or ‘chancellor in name only’. Tensions are only escalating between Number 10 and the Treasury ahead of the first Budget https://t.co/My227f6FZc"
