market_date,n_tweets,sentiment_mean
2020-12-02,4,0.5336406
2020-12-03,18,-0.008086764
2020-12-04,10,0.24748044
2020-12-05,2,0.35602483
2020-12-06,4,0.06304937
2020-12-07,3,0.20874399
2020-12-08,5,0.14254558
2020-12-09,10,0.0071983575
2020-12-10,6,0.49186835
2020-12-11,7,0.109373726
2020-12-12,9,0.28832012
2020-12-13,2,0.6011088
2020-12-14,5,0.5334627
2020-12-15,19,0.15481679
2020-12-16,10,0.117214814
2020-12-17,10,0.50170034
2020-12-18,8,-0.02972193
2020-12-19,5,0.24742857
2020-12-20,2,0.4536455
2020-12-21,8,-0.054206435
2020-12-22,7,0.20285693
2020-12-23,9,0.03748222
2020-12-24,7,0.17832229
2020-12-25,2,0.040944487
2020-12-26,2,0.06025234
2020-12-27,3,-0.051591683
2020-12-28,1,0.84920853
2020-12-29,4,0.40201676
2020-12-30,5,0.341139
2020-12-31,1,0.12632897
